日期,主体ID,主体类型,主体名称,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,含预售投产比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,自然流量转化金额,自然流量曝光量,平台补贴金额,补贴引导成交金额,发券补贴商品个数,补贴引导成交人数
2026-06-21,1041784053203,商品,一次性咖啡杯子奶茶杯带盖塑料冷饮料品外出携带店打包专用商果汁,10,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1041777229710,商品,网红爆款咖啡杯一次性纸杯子带盖热饮90口径外出携带商用打包定制,26,2,0.12,0.07692,0.06,4.62,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,2,2,2,1,0,0,0.07692,0,1,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1041773309442,商品,咖啡杯一次性热饮专用纸杯带盖网红加厚奶茶外带打包杯子商用定制,2,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1041490205444,商品,春天高级感奶茶杯子一次性带盖商用热饮起鼓烫金铝箔奶茶纸杯定制,150,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1041487837536,商品,咖啡杯子一次性咖啡杯奶茶纸杯专用外带打包带盖商用热饮定制logo,5,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1041485077086,商品,一次性双层中空加厚防烫咖啡纸杯定制网红外卖高档热饮杯印刷定制,33,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1041349930010,商品,新年咖啡杯子一次性奶茶纸杯定制马年触感纸热饮外带打包杯盖商用,3,1,2.36,0.33333,2.36,786.67,0.00,0,0.00,0,0.00,0,190.12,0.00,190.12,2,2,0,2,80.56,80.56,1.18,1,1,0,1,0,0,,1,2.36,1,2.36,0,,0,2.36,2,196.00,0,0,0,0,0.00,0,8,1,1,1,0,0,2.66667,7,8,1,1,0,0.00,0,1,2,190.12,0.00,0,0.00,0.00,0,0
2026-06-21,1040827726495,商品,一次性咖啡杯食品级纸杯带盖奶茶杯打包杯家用商用双层加厚外带杯,3,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1040826130096,商品,咖啡专用纸杯子一次性双层热饮外带打包户外保温食品级商用定制,9,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1040824710258,商品,高级橙触感纸咖啡杯一次性纸杯子带盖奶茶热饮400ml外带商用定制,12,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
